country.iso,country.name,num_u,num_contrib,gini,pr_total,pr_questions,pr_answers,pr_comments,pr_editions,particip_lower,particip_upper,var,IDV,GNI,Internet,English,WVS
LVA,Latvia,176,791,0.8821758993,0.4545454545,0.3352272727,0.2329545455,0.2840909091,0.02272727273,0.3827367567,0.5282959935,0.1455592368,70,14200,71.7,59.43,-1.27
IRN,"Iran, Islamic Republic of",693,2380,0.8650187348,0.4357864358,0.3333333333,0.2049062049,0.2424242424,0.03318903319,0.3993224583,0.4729583899,0.07363593159,41,NA,100,41.83,-0.45
MDV,Maldives,12,11,0.6742424242,0.5,0.3333333333,0.08333333333,0.1666666667,0,0.2537815976,0.7462184024,0.4924368047,NA,5750,34,NA,NA
AFG,Afghanistan,12,11,0.7196969697,0.4166666667,0.3333333333,0.1666666667,0.1666666667,0.08333333333,0.1932603137,0.6804886875,0.4872283738,NA,570,5,NA,NA
FSM,"Micronesia, Federated States of",6,8,0.6666666667,0.5,0.3333333333,0.3333333333,0.1666666667,0,0.1876163065,0.8123836935,0.624767387,NA,3310,55,NA,NA
PNG,Papua New Guinea,6,56,0.755952381,0.6666666667,0.3333333333,0.5,0.3333333333,0,0.2999933151,0.9032285889,0.6032352738,NA,1790,2,NA,NA
NCL,New Caledonia,3,8,0.5833333333,0.6666666667,0.3333333333,0.3333333333,0.3333333333,0,0.2076596008,0.9385080553,0.7308484545,NA,NA,50,NA,NA
TKM,Turkmenistan,3,1,0.6666666667,0.3333333333,0.3333333333,0,0,0,0.06149194472,0.7923403992,0.7308484545,NA,5550,5,NA,NA
HUN,Hungary,448,1829,0.8276417148,0.5089285714,0.3325892857,0.3147321429,0.3169642857,0.03571428571,0.4627573897,0.5549479356,0.09219054595,80,12370,70,58.55,-1.22
LBN,Lebanon,70,163,0.8363716039,0.4428571429,0.3285714286,0.1714285714,0.3142857143,0.01428571429,0.3324952891,0.5591644895,0.2266692004,40,9190,52,NA,NA
ZAF,South Africa,783,5238,0.8977210941,0.5185185185,0.3243933589,0.3103448276,0.2860791826,0.05108556833,0.4835158571,0.5533403605,0.06982450335,65,7610,34,NA,-0.1
BEL,Belgium,1100,13186,0.9420032266,0.5072727273,0.3227272727,0.3009090909,0.2854545455,0.04818181818,0.4777544171,0.5367404181,0.05898600094,75,44990,78,61.21,1.13
SVN,Slovenia,187,924,0.862745098,0.4652406417,0.320855615,0.2620320856,0.2834224599,0.04278074866,0.3951700253,0.5367106044,0.1415405792,27,22810,69,60.6,0.36
DNK,Denmark,932,9345,0.9358201466,0.4903433476,0.3208154506,0.275751073,0.3068669528,0.04077253219,0.4583545103,0.5224114625,0.0640569522,74,59770,90,69.3,1.87
