country.iso,country.name,num_u,num_contrib,gini,pr_total,pr_questions,pr_answers,pr_comments,pr_editions,particip_lower,particip_upper,var,IDV,GNI,Internet,English,WVS
KHM,Cambodia,35,35,0.8669387755,0.2857142857,0.1142857143,0.2,0.08571428571,0,0.1632653624,0.4505493486,0.2872839863,NA,880,3.1,38.25,NA
MDG,Madagascar,10,4,0.75,0.3,0.1,0.2,0.1,0,0.1077912674,0.6032218525,0.4954305851,NA,430,1.9,NA,NA
HND,Honduras,14,5,0.7571428571,0.2857142857,0.07142857143,0.1428571429,0.1428571429,0,0.1172137864,0.5464908433,0.4292770569,NA,2070,15.9,NA,NA
RWA,Rwanda,5,2,0.8,0.2,0,0.2,0,0,0.03622410863,0.6244653702,0.5882412616,NA,560,7,NA,-0.62
AGO,Angola,3,1,0.6666666667,0.3333333333,0,0.3333333333,0,0,0.06149194472,0.7923403992,0.7308484545,NA,4580,14.8,NA,NA
MCO,Monaco,3,5,0.6666666667,0.3333333333,0,0.3333333333,0.3333333333,0,0.06149194472,0.7923403992,0.7308484545,NA,NA,80.3,NA,NA
BFA,Burkina Faso,2,4,0.5,0.5,0,0.5,0.5,0,0.09453120573,0.9054687943,0.8109375885,NA,670,3,NA,NA
ASM,American Samoa,1,5,0,0.999,0,1,1,0,0.2061364759,0.9999997398,0.7938632639,NA,NA,NA,NA,NA
CUW,Curacao,1,1,0,0.999,0,0,1,0,0.2061364759,0.9999997398,0.7938632639,NA,NA,NA,NA,NA
KIR,Kiribati,1,1,0,0.999,0,0,1,0,0.2061364759,0.9999997398,0.7938632639,NA,2260,10,NA,NA
LCA,Saint Lucia,1,1,0,0.999,0,1,0,0,0.2061364759,0.9999997398,0.7938632639,NA,6530,45,NA,NA
MLI,Mali,1,1,0,0.999,0,0,1,0,0.2061364759,0.9999997398,0.7938632639,NA,660,2,NA,-0.08
TCA,Turks and Caicos Islands,1,1,0,0.999,0,1,0,0,0.2061364759,0.9999997398,0.7938632639,NA,NA,NA,NA,NA
