country.iso,country.name,num_u,num_contrib,gini,pr_total,particip_lower,particip_upper,var,pr_questions,pr_answers,pr_comments,pr_editions,IDV,GNI,Internet,English,WVS
ANT,Netherlands Antilles,5,12,0.4,0.8,0.3755346298,0.9637758914,0.5882412616,0.8,0.6,0,0,NA,NA,NA,NA,NA
LBR,Liberia,4,6,0.75,0.25,0.04558726081,0.6993581574,0.6537708966,0.25,0.25,0,0,NA,370,3,NA,NA
GUF,French Guiana,4,3,0.75,0.25,0.04558726081,0.6993581574,0.6537708966,0.25,0,0,0,NA,NA,NA,NA,NA
TGO,Togo,4,10,0.6,0.75,0.3006418426,0.9544127392,0.6537708966,0.25,0.75,0,0,NA,500,3.5,NA,NA
SJM,Svalbard and Jan Mayen,4,16,0.625,0.75,0.3006418426,0.9544127392,0.6537708966,0.75,0.25,0.25,0,NA,NA,NA,NA,NA
BDI,Burundi,4,44,0.6590909091,0.75,0.3006418426,0.9544127392,0.6537708966,0.75,0.75,0.25,0.25,NA,240,1.1,NA,NA
VUT,Vanuatu,4,44,0.4659090909,0.999,0.5090899843,0.9999989609,0.4909089766,0.75,0.75,0.25,0,NA,3080,9.2,NA,NA
SSD,South Sudan,3,1,0.6666666667,0.3333333333,0.06149194472,0.7923403992,0.7308484545,0.3333333333,0,0,0,NA,650,NA,NA,NA
KIR,Kiribati,3,21,0.6666666667,0.3333333333,0.06149194472,0.7923403992,0.7308484545,0.3333333333,0.3333333333,0.3333333333,0,NA,2260,10,NA,NA
TLS,Timor-Leste,3,1,0.6666666667,0.3333333333,0.06149194472,0.7923403992,0.7308484545,0.3333333333,0,0,0,NA,3670,0.9,NA,NA
TCA,Turks and Caicos Islands,3,78,0.6666666667,0.3333333333,0.06149194472,0.7923403992,0.7308484545,0,0.3333333333,0.3333333333,0.3333333333,NA,NA,NA,NA,NA
TON,Tonga,3,2,0.3333333333,0.6666666667,0.2076596008,0.9385080553,0.7308484545,0.6666666667,0,0,0,NA,4240,25,NA,NA
ATG,Antigua and Barbuda,3,12,0.3888888889,0.6666666667,0.2076596008,0.9385080553,0.7308484545,0.6666666667,0.3333333333,0.3333333333,0,NA,12640,82,NA,NA
GIN,Guinea,3,3,0.4444444444,0.6666666667,0.2076596008,0.9385080553,0.7308484545,0.3333333333,0.3333333333,0,0,NA,460,1.3,NA,NA
ASM,American Samoa,3,5,0.5333333333,0.6666666667,0.2076596008,0.9385080553,0.7308484545,0.6666666667,0.3333333333,0,0,NA,NA,NA,NA,NA
TUV,Tuvalu,3,33,0.6060606061,0.6666666667,0.2076596008,0.9385080553,0.7308484545,0.3333333333,0.6666666667,0.3333333333,0,NA,6070,30,NA,NA
GMB,Gambia,3,16,0.625,0.6666666667,0.2076596008,0.9385080553,0.7308484545,0.6666666667,0.3333333333,0,0,NA,510,68,NA,NA
ALA,Aland Islands,3,16,0.4583333333,0.999,0.437626742,0.9999992203,0.5623724782,0.6666666667,0.6666666667,0.3333333333,0,NA,NA,NA,NA,NA
MTQ,Martinique,3,14,0.4761904762,0.999,0.437626742,0.9999992203,0.5623724782,1,0.6666666667,0,0,NA,NA,NA,NA,NA
VCT,Saint Vincent and the Grenadines,2,6,0.5,0.5,0.09453120573,0.9054687943,0.8109375885,0.5,0.5,0.5,0,NA,6380,43,NA,NA
SHN,"Saint Helena, Ascension and Tristan da Cunha",2,2,0.5,0.5,0.09453120573,0.9054687943,0.8109375885,0.5,0,0,0,NA,NA,NA,NA,NA
ERI,Eritrea,2,4,0.25,0.999,0.3416959871,0.9999994799,0.6583034928,1,0,0,0,NA,450,0.7,NA,NA
COG,Congo,2,5,0.3,0.999,0.3416959871,0.9999994799,0.6583034928,0.5,0.5,0,0,NA,2550,18,NA,NA
COG,Congo,2,5,0.3,0.999,0.3416959871,0.9999994799,0.6583034928,0.5,0.5,0,0,NA,2550,31,NA,NA
WSM,Samoa,2,11,0.3181818182,0.999,0.3416959871,0.9999994799,0.6583034928,1,0.5,0.5,0,NA,3220,11,NA,NA
BVT,Bouvet Island,2,28,0.4642857143,0.999,0.3416959871,0.9999994799,0.6583034928,0.5,1,0.5,0.5,NA,NA,NA,NA,NA
GNB,Guinea-Bissau,1,1,0,0.999,0.2061364759,0.9999997398,0.7938632639,1,0,0,0,NA,550,2.7,NA,NA
TCD,Chad,1,4,0,0.999,0.2061364759,0.9999997398,0.7938632639,1,1,0,0,NA,740,1.9,NA,NA
COM,Comoros,1,1,0,0.999,0.2061364759,0.9999997398,0.7938632639,1,0,0,0,NA,840,5.5,NA,NA
MHL,Marshall Islands,1,2,0,0.999,0.2061364759,0.9999997398,0.7938632639,0,1,0,0,NA,4140,8.1,NA,NA
GNQ,Equatorial Guinea,1,2,0,0.999,0.2061364759,0.9999997398,0.7938632639,1,0,0,0,NA,13560,11.5,NA,NA
AIA,Anguilla,1,1,0,0.999,0.2061364759,0.9999997398,0.7938632639,1,0,0,0,NA,NA,NA,NA,NA
NFK,Norfolk Island,1,1,0,0.999,0.2061364759,0.9999997398,0.7938632639,0,1,0,0,NA,NA,NA,NA,NA
NIU,Niue,1,2,0,0.999,0.2061364759,0.9999997398,0.7938632639,1,0,0,0,NA,NA,NA,NA,NA
SGS,South Georgia and the South Sandwich Islands,1,5,0,0.999,0.2061364759,0.9999997398,0.7938632639,1,0,0,0,NA,NA,NA,NA,NA
TKL,Tokelau,1,91,0,0.999,0.2061364759,0.9999997398,0.7938632639,1,1,1,1,NA,NA,NA,NA,NA
